name,ssn,address,postal_code,phone,email,country,licenses
Reykjavik University,510105-4190,Menntavegi 1,102,+354 599 6200,travel@ru.is,IS,Drivers
Geimferðastofnun Íslands,710707-2200,Svarthöfða 2,110,+354 999 3000,space@gsi.is,IS,Drivers
Adam Alfreðsson,320866-9910,Langamýri 101,210,+354 741 4552,adam.alfreds@heimsnet.is,IS,None
Joseph Torvalds,n/a,Haraldsveij 7,9170,+47 7902191,jo@fresco.no,NO,None
Henke Gronvold,n/a,Jespegade 92	8270,+45 1873499087,henke@norice.dk,DK,Diving
Jón Stóri,123456-1234,götugötu 4,420,+420 1234567,den_stoore@stoore.is,IS,Drivers-Diving
Fannar Flotti,443322-1111,Fannargötu 4,603,+1234567890,+111 22 33 444,DK,None
Ragnar Smári,250645-9999,Tónatröð 1,600,7826369,ragnaro20@ru.is,Iceland,Drivers
Ragnar,100998-2979,Tónatröð 1,600,7826369,ragnaro20@ru.is,Iceland,Drivers
Kalli Kjáni,121295-1234,Höfða 5,506,1234567,kall@internet.is,Iceland,Drivers-Diving
Nonni,121314-1234,Nonni 3,123,1234412,non@non.is,Iceland,Drivers
Bob,121234-5678,Bob,11,1231234,bb@bb.is,Iceland,
Bob,121234-1234,Nan,1,1234567,b@bb.is,Iceland,Drivers
Bobby,123412-3412,Nanair,333,1231231234,bb@bb.nan,Iceland,None
