name,address,postal_code,ssn,home_phone,mobile_phone,email,work_area
Chuck Norris,Svarthöfða 1,110,250645-9999,+354 5555555,+354 6890001,bigc@nan.is,Admin
Jón Jónsson,Melagerð 99,200,300279-1289,+356 5815432,+354 6890012,jj@nan.is,KEF
Guðrún Aradóttir,Bröttubrekku 2a,104,310484-3348,+354 5421212,+354 6890015,gurra@nan.is,KEF
Sebastian Ventilsson,Múlalund 7,221,101009-2237,+354 5670011,+354 6890011,seven@nan.is,KEF
Darth Vader,Unnamed road 4b,444,123456-1234,+222 1234567,+111 1234567,lord_vader@empire.is,KEF
Mummi,adkjskjg,dfhjdhjk,123456-7890,0,dkfjdklj,sdhjjhsjk,jgdhjgfhd
Mummi,hgjdfh 1,djhfjdks,123456-4444,djnbfjkh,23y2u1y,213hu,jhf
Jón Stóri,Svarthöfða 3,420,123412-3456,+354 1212456,+354 1234567,stoore@nan.is,KEF
Gulli Góði,Unnamed road 13b,901,123456-1234,+123 555 12456,+123 1234567,gg@nan.is,GOH
Kalli Klári,Unnamed road 5,420,123456-1234,+354 888 444 1,+354 1234567,kkk@nan.is,LYR
Halli Valli,Valdarás 4,560,174839-2647,8007000,2348594,hallivalli@ru.is,KEF
Ragnar,Tonatröð 1,600,100998-2979,46123456,7826369,Grumðasd,northpole
